,census_code,label
5028,B24125_004E,Estimate!!Total:!!Legislators
5029,B23027_011E,Estimate!!Total:!!20 to 24 years:!!Did not work in the past 12 months
5030,B17010B_005E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only
5031,B24125_005E,Estimate!!Total:!!Advertising and promotions managers
5032,B26208_061E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Juvenile facilities:!!Population under 18 years:
5033,B23027_012E,Estimate!!Total:!!25 to 44 years:
5034,B17010B_004E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years:
5035,B24125_006E,Estimate!!Total:!!Marketing managers
5036,B17010_019E,"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years"
5037,C23002F_010E,Estimate!!Total:!!Male:!!65 years and over:
5038,C27017_037E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!19 to 64 years:!!With private health insurance
5039,B20017D_007E,Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Female --!!Total!!Other
5040,C23002F_011E,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:
5041,B08134_120E,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 or more minutes"
5042,B20017D_006E,"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Female --!!Total!!Worked full-time, year-round in the past 12 months"
5043,C27017_038E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!19 to 64 years:!!No private health insurance
5044,C23002F_012E,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Employed
5045,C27017_035E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!Under 19 years:!!No private health insurance
5046,B17010B_041E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!No related children of the householder under 18 years"
5047,B20017D_005E,Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Female --!!Total
5048,B16004_039E,"Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well"""
5049,C23002F_013E,Estimate!!Total:!!Male:!!65 years and over:!!In labor force:!!Unemployed
5050,B17010B_040E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only"
5051,B20017D_004E,Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Male --!!Total!!Other
5052,C27017_036E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!19 to 64 years:
5053,B16004_038E,"Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""well"""
5054,B24124_231E,Estimate!!Total:!!Nuclear medicine technologists and medical dosimetrists
5055,B08016_003E,Estimate!!Total:!!Living in a principal city:!!Worked in Metropolitan Statistical Area of residence:
5056,B19037A_060E,"Estimate!!Total:!!Householder 65 years and over:!!$35,000 to $39,999"
5057,B20017D_003E,"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Male --!!Total!!Worked full-time, year-round in the past 12 months"
5058,B16004_037E,"Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English ""very well"""
5059,B24124_232E,Estimate!!Total:!!Emergency medical technicians
5060,B19037A_061E,"Estimate!!Total:!!Householder 65 years and over:!!$40,000 to $44,999"
5061,B08016_002E,Estimate!!Total:!!Living in a principal city:
5062,B20017D_002E,Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:!!Male --!!Total
5063,B16004_036E,Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:
5064,B20017D_001E,Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total:
5065,B08016_001E,Estimate!!Total:
5066,C27017_039E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!65 years and over:
5067,B16004_035E,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not at all"""
5068,B24124_230E,Estimate!!Total:!!Magnetic resonance imaging technologists
5069,B22008_002E,Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Household received Food Stamps/SNAP in the past 12 months
5070,B19037A_065E,"Estimate!!Total:!!Householder 65 years and over:!!$75,000 to $99,999"
5071,B25053_006E,Estimate!!Total:!!Renter occupied:!!Complete kitchen facilities
5072,B24124_235E,Estimate!!Total:!!Psychiatric technicians
5073,B18101C_004E,Estimate!!Total:!!Under 18 years:!!No disability
5074,B24124_237E,Estimate!!Total:!!Veterinary technologists and technicians
5075,B22008_001E,Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:
5076,B19037A_066E,"Estimate!!Total:!!Householder 65 years and over:!!$100,000 to $124,999"
5077,B25053_005E,Estimate!!Total:!!Renter occupied:
5078,B24124_236E,Estimate!!Total:!!Surgical technologists
5079,B18101C_003E,Estimate!!Total:!!Under 18 years:!!With a disability
5080,B24125_080E,Estimate!!Total:!!Statisticians
5081,B19037A_062E,"Estimate!!Total:!!Householder 65 years and over:!!$45,000 to $49,999"
5082,B24124_233E,Estimate!!Total:!!Paramedics
5083,B18101C_006E,Estimate!!Total:!!18 to 64 years:!!With a disability
5084,B24125_081E,Estimate!!Total:!!Other mathematical science occupations
5085,B19037A_064E,"Estimate!!Total:!!Householder 65 years and over:!!$60,000 to $74,999"
5086,B19037A_063E,"Estimate!!Total:!!Householder 65 years and over:!!$50,000 to $59,999"
5087,B25053_007E,Estimate!!Total:!!Renter occupied:!!Lacking complete kitchen facilities
5088,B24124_234E,Estimate!!Total:!!Pharmacy technicians
5089,B18101C_005E,Estimate!!Total:!!18 to 64 years:
5090,B24125_082E,"Estimate!!Total:!!Architects, except landscape and naval"
5091,B19037A_069E,"Estimate!!Total:!!Householder 65 years and over:!!$200,000 or more"
5092,B25053_002E,Estimate!!Total:!!Owner occupied:
5093,B24125_083E,Estimate!!Total:!!Landscape architects
5094,B25053_001E,Estimate!!Total:
5095,B24125_084E,"Estimate!!Total:!!Surveyors, cartographers, and photogrammetrists"
5096,B24124_238E,Estimate!!Total:!!Dietetic technicians and ophthalmic medical technicians
5097,B19037A_067E,"Estimate!!Total:!!Householder 65 years and over:!!$125,000 to $149,999"
5098,B25053_004E,Estimate!!Total:!!Owner occupied:!!Lacking complete kitchen facilities
5099,B18101C_002E,Estimate!!Total:!!Under 18 years:
5100,B26208_029E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population under 18 years:!!With a disability
5101,B24124_239E,Estimate!!Total:!!Licensed practical and licensed vocational nurses
5102,B19037A_068E,"Estimate!!Total:!!Householder 65 years and over:!!$150,000 to $199,999"
5103,B24125_085E,Estimate!!Total:!!Aerospace engineers
5104,B18101C_001E,Estimate!!Total:
5105,B25053_003E,Estimate!!Total:!!Owner occupied:!!Complete kitchen facilities
5106,B19013I_001E,Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)
5107,B24125_074E,Estimate!!Total:!!Network and computer systems administrators
5108,B26208_039E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!No disability
5109,B24125_075E,Estimate!!Total:!!Computer network architects
5110,B19101F_001E,Estimate!!Total:
5111,B24125_076E,"Estimate!!Total:!!Computer occupations, all other"
5112,B26208_037E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:
5113,B19101F_002E,"Estimate!!Total:!!Less than $10,000"
5114,B24125_077E,Estimate!!Total:!!Actuaries
5115,B26208_038E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!With a disability
5116,B19101F_003E,"Estimate!!Total:!!$10,000 to $14,999"
5117,B24125_078E,Estimate!!Total:!!Mathematicians
5118,B26208_035E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 65 years and over:!!With a disability
5119,B19101F_004E,"Estimate!!Total:!!$15,000 to $19,999"
5120,B24125_079E,Estimate!!Total:!!Operations research analysts
5121,B26208_036E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 65 years and over:!!No disability
5122,B26208_032E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 18 to 64 years:!!With a disability
5123,B19101F_005E,"Estimate!!Total:!!$20,000 to $24,999"
5124,B19101F_006E,"Estimate!!Total:!!$25,000 to $29,999"
5125,B26208_033E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 18 to 64 years:!!No disability
5126,B22008_003E,Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)--!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months
5127,B26208_034E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 65 years and over:
5128,C23002F_006E,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:
5129,B16004_034E,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""not well"""
5130,B26208_030E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population under 18 years:!!No disability
5131,B17010B_039E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years"
5132,B19101F_007E,"Estimate!!Total:!!$30,000 to $34,999"
5133,C23002F_007E,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed
5134,B16004_033E,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""well"""
5135,B26208_031E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Population 18 to 64 years:
5136,B17010B_038E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only"
5137,C27017_030E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!65 years and over:!!With private health insurance
5138,B19101F_008E,"Estimate!!Total:!!$35,000 to $39,999"
5139,C23002F_008E,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed
5140,B16004_032E,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English ""very well"""
5141,B17010B_037E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years:"
5142,B19101F_009E,"Estimate!!Total:!!$40,000 to $44,999"
5143,C23002F_009E,Estimate!!Total:!!Male:!!16 to 64 years:!!Not in labor force
5144,B16004_031E,Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:
5145,B17010B_036E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:"
5146,C23002F_002E,Estimate!!Total:!!Male:
5147,B16004_030E,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not at all"""
5148,C27017_033E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!Under 19 years:
5149,C23002F_003E,Estimate!!Total:!!Male:!!16 to 64 years:
5150,C27017_034E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:!!Under 19 years:!!With private health insurance
5151,C23002F_004E,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:
5152,C27017_031E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!65 years and over:!!No private health insurance
5153,C23002F_005E,Estimate!!Total:!!Male:!!16 to 64 years:!!In labor force:!!In Armed Forces
5154,C27017_032E,Estimate!!Total:!!2.00 to 3.99 of poverty threshold:
5155,C23002F_022E,Estimate!!Total:!!Female:!!16 to 64 years:!!Not in labor force
5156,B17023_002E,Estimate!!Total:!!Income in the past 12 months below poverty level:
5157,B08016_011E,Estimate!!Total:!!Living in a principal city:!!Worked in a Micropolitan Statistical Area:!!Worked outside any principal city
5158,B17010B_031E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:"
5159,C27017_025E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!Under 19 years:!!No private health insurance
5160,B16004_029E,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""not well"""
5161,B17023_003E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:
5162,C23002F_023E,Estimate!!Total:!!Female:!!65 years and over:
5163,B17010B_030E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:"
5164,B08016_010E,Estimate!!Total:!!Living in a principal city:!!Worked in a Micropolitan Statistical Area:!!Worked in a principal city
5165,C27017_026E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!19 to 64 years:
5166,B16004_028E,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""well"""
5167,C23002F_024E,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:
5168,C27017_023E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!Under 19 years:
5169,B16004_027E,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English ""very well"""
5170,B17023_001E,Estimate!!Total:
5171,C23002F_025E,Estimate!!Total:!!Female:!!65 years and over:!!In labor force:!!Employed
5172,C27017_024E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!Under 19 years:!!With private health insurance
5173,B17023_006E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!3 or 4 own children of the householder
5174,B16004_026E,Estimate!!Total:!!18 to 64 years:!!Speak Spanish:
5175,B08016_015E,Estimate!!Total:!!Living outside any principal city:!!Worked in Metropolitan Statistical Area of residence:!!Worked in a principal city
5176,B17010B_035E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!No related children of the householder under 18 years"
5177,B16004_025E,Estimate!!Total:!!18 to 64 years:!!Speak only English
5178,B17023_007E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!5 or more own children of the householder
5179,B24124_220E,Estimate!!Total:!!Nurse anesthetists
5180,B08016_014E,Estimate!!Total:!!Living outside any principal city:!!Worked in Metropolitan Statistical Area of residence:
5181,B17010B_034E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!5 to 17 years only"
5182,B16004_024E,Estimate!!Total:!!18 to 64 years:
5183,B17023_004E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!No own child of the householder
5184,C23002F_020E,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Employed
5185,B08016_013E,Estimate!!Total:!!Living outside any principal city:
5186,C27017_027E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!19 to 64 years:!!With private health insurance
5187,B17010B_033E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years"
5188,B16004_023E,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not at all"""
5189,C27017_029E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!65 years and over:
5190,B17023_005E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!1 or 2 own children of the householder
5191,C23002F_021E,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:!!Unemployed
5192,B08016_012E,Estimate!!Total:!!Living in a principal city:!!Worked outside any Metropolitan or Micropolitan Statistical Area
5193,C27017_028E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:!!19 to 64 years:!!No private health insurance
5194,B17010B_032E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years:!!Under 5 years only"
5195,B24124_223E,Estimate!!Total:!!Acupuncturists
5196,B24124_224E,"Estimate!!Total:!!Healthcare diagnosing or treating practitioners, all other"
5197,B24124_221E,Estimate!!Total:!!Nurse midwives
5198,B24124_222E,Estimate!!Total:!!Nurse practitioners
5199,B24125_070E,Estimate!!Total:!!Web developers
5200,B24124_228E,Estimate!!Total:!!Diagnostic medical sonographers
5201,B24125_071E,Estimate!!Total:!!Web and digital interface designers
5202,B24124_229E,Estimate!!Total:!!Radiologic technologists and technicians
5203,B24125_072E,Estimate!!Total:!!Computer support specialists
5204,B24124_226E,Estimate!!Total:!!Dental hygienists
5205,B24124_225E,Estimate!!Total:!!Clinical laboratory technologists and technicians
5206,B24125_073E,Estimate!!Total:!!Database administrators and architects
5207,B19101F_010E,"Estimate!!Total:!!$45,000 to $49,999"
5208,B24124_227E,Estimate!!Total:!!Cardiovascular technologists and technicians
5209,B24125_062E,Estimate!!Total:!!Tax preparers
5210,B19101F_011E,"Estimate!!Total:!!$50,000 to $59,999"
5211,B19101F_012E,"Estimate!!Total:!!$60,000 to $74,999"
5212,B24125_063E,Estimate!!Total:!!Other financial specialists
5213,B19101F_013E,"Estimate!!Total:!!$75,000 to $99,999"
5214,B24125_064E,Estimate!!Total:!!Computer and information research scientists
5215,B26208_049E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Nursing facilities/skilled nursing facilities:
5216,B19101F_014E,"Estimate!!Total:!!$100,000 to $124,999"
5217,B24125_065E,Estimate!!Total:!!Computer systems analysts
5218,B19101F_015E,"Estimate!!Total:!!$125,000 to $149,999"
5219,B24125_066E,Estimate!!Total:!!Information security analysts
5220,B26208_047E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 65 years and over:!!With a disability
5221,B19101F_016E,"Estimate!!Total:!!$150,000 to $199,999"
5222,B24125_067E,Estimate!!Total:!!Computer programmers
5223,B26208_048E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 65 years and over:!!No disability
5224,B26208_044E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 18 to 64 years:!!With a disability
5225,B19101F_017E,"Estimate!!Total:!!$200,000 or more"
5226,B24125_068E,Estimate!!Total:!!Software developers
5227,B26208_045E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 18 to 64 years:!!No disability
5228,B24125_069E,Estimate!!Total:!!Software quality assurance analysts and testers
5229,B26208_046E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 65 years and over:
5230,C23002F_018E,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!In Armed Forces
5231,B16004_022E,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""not well"""
5232,B26208_042E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population under 18 years:!!No disability
5233,B17010B_027E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!5 to 17 years only
5234,B08016_007E,Estimate!!Total:!!Living in a principal city:!!Worked in a different Metropolitan Statistical Area:!!Worked in a principal city
5235,C23002F_019E,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:!!Civilian:
5236,B26208_043E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population 18 to 64 years:
5237,B16004_021E,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""well"""
5238,B17010B_026E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years and 5 to 17 years
5239,B08016_006E,Estimate!!Total:!!Living in a principal city:!!Worked in a different Metropolitan Statistical Area:
5240,B26208_040E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population under 18 years:
5241,B25039_002E,Estimate!!Median year householder moved into unit --!!Total:!!Owner occupied
5242,B16004_020E,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English ""very well"""
5243,B08016_005E,Estimate!!Total:!!Living in a principal city:!!Worked in Metropolitan Statistical Area of residence:!!Worked outside any principal city
5244,B17010B_025E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:!!Under 5 years only
5245,B25014C_001E,Estimate!!Total:
5246,B25039_001E,Estimate!!Median year householder moved into unit --!!Total:
5247,B26208_041E,Estimate!!Total:!!Group quarters population:!!Institutionalized group quarters population:!!Adult correctional facilities:!!Population under 18 years:!!With a disability
5248,B08016_004E,Estimate!!Total:!!Living in a principal city:!!Worked in Metropolitan Statistical Area of residence:!!Worked in a principal city
5249,B17010B_024E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years:
5250,B25014C_002E,Estimate!!Total:!!1.00 or less occupants per room
5251,B01002D_001E,Estimate!!Median age --!!Total:
5252,C23002F_014E,Estimate!!Total:!!Male:!!65 years and over:!!Not in labor force
5253,B25014C_003E,Estimate!!Total:!!1.01 or more occupants per room
5254,C27017_021E,Estimate!!Total:!!1.00 to 1.37 of poverty threshold:!!65 years and over:!!No private health insurance
5255,B01002D_002E,Estimate!!Median age --!!Male
5256,B25039_003E,Estimate!!Median year householder moved into unit --!!Total:!!Renter occupied
5257,C23002F_015E,Estimate!!Total:!!Female:
5258,C27017_022E,Estimate!!Total:!!1.38 to 1.99 of poverty threshold:
5259,B01002D_003E,Estimate!!Median age --!!Female
5260,C23002F_016E,Estimate!!Total:!!Female:!!16 to 64 years:
5261,B08016_009E,Estimate!!Total:!!Living in a principal city:!!Worked in a Micropolitan Statistical Area:
5262,B17010B_029E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:
5263,C23002F_017E,Estimate!!Total:!!Female:!!16 to 64 years:!!In labor force:
5264,C27017_020E,Estimate!!Total:!!1.00 to 1.37 of poverty threshold:!!65 years and over:!!With private health insurance
5265,B08016_008E,Estimate!!Total:!!Living in a principal city:!!Worked in a different Metropolitan Statistical Area:!!Worked outside any principal city
5266,B17010B_028E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!No related children of the householder under 18 years
5267,B19001F_005E,"Estimate!!Total:!!$20,000 to $24,999"
5268,C21001C_004E,Estimate!!Total:!!Male:!!18 to 64 years:!!Veteran
5269,B16004_018E,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not at all"""
5270,B19129_002E,Estimate!!Aggregate family income in the past 12 months (in 2019 inflation-adjusted dollars):!!No workers (dollars)
5271,B16004_019E,Estimate!!Total:!!5 to 17 years:!!Speak other languages:
5272,C21001C_003E,Estimate!!Total:!!Male:!!18 to 64 years:
5273,B16004_017E,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""not well"""
5274,B19129_001E,Estimate!!Aggregate family income in the past 12 months (in 2019 inflation-adjusted dollars):
5275,B19001F_006E,"Estimate!!Total:!!$25,000 to $29,999"
5276,C21001C_002E,Estimate!!Total:!!Male:
5277,B19001F_003E,"Estimate!!Total:!!$10,000 to $14,999"
5278,B16004_016E,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""well"""
5279,B19001F_004E,"Estimate!!Total:!!$15,000 to $19,999"
5280,C21001C_001E,Estimate!!Total:
5281,B16004_015E,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English ""very well"""
5282,B16004_014E,Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:
5283,B19001F_001E,Estimate!!Total:
5284,B16004_013E,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not at all"""
5285,B19001F_002E,"Estimate!!Total:!!Less than $10,000"
5286,B16004_012E,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""not well"""
5287,B16004_011E,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""well"""
5288,B24124_211E,Estimate!!Total:!!Physical therapists
5289,B24124_212E,Estimate!!Total:!!Radiation therapists
5290,B26208_009E,Estimate!!Total:!!Population 18 to 64 years:!!No disability
5291,C21001C_009E,Estimate!!Total:!!Female:
5292,B24124_210E,Estimate!!Total:!!Occupational therapists
5293,C21001C_008E,Estimate!!Total:!!Male:!!65 years and over:!!Nonveteran
5294,B24124_216E,Estimate!!Total:!!Exercise physiologists
5295,B26208_007E,Estimate!!Total:!!Population 18 to 64 years:
5296,C21001C_007E,Estimate!!Total:!!Male:!!65 years and over:!!Veteran
5297,B24124_217E,"Estimate!!Total:!!Therapists, all other"
5298,B26208_008E,Estimate!!Total:!!Population 18 to 64 years:!!With a disability
5299,B24125_060E,Estimate!!Total:!!Credit counselors and loan officers
5300,C21001C_006E,Estimate!!Total:!!Male:!!65 years and over:
5301,B24124_213E,Estimate!!Total:!!Recreational therapists
5302,B26208_005E,Estimate!!Total:!!Population under 18 years:!!With a disability
5303,B24125_061E,"Estimate!!Total:!!Tax examiners and collectors, and revenue agents"
5304,C21001C_005E,Estimate!!Total:!!Male:!!18 to 64 years:!!Nonveteran
5305,B24124_215E,Estimate!!Total:!!Speech-language pathologists
5306,B24124_214E,Estimate!!Total:!!Respiratory therapists
5307,B26208_006E,Estimate!!Total:!!Population under 18 years:!!No disability
5308,B24125_050E,Estimate!!Total:!!Market research analysts and marketing specialists
5309,B26208_015E,Estimate!!Total:!!Group quarters population:!!No disability
5310,B24125_051E,"Estimate!!Total:!!Business operations specialists, all other"
5311,B26208_016E,Estimate!!Total:!!Group quarters population:!!Population under 18 years:
5312,B24124_218E,Estimate!!Total:!!Veterinarians
5313,B24125_052E,Estimate!!Total:!!Accountants and auditors
5314,B26208_013E,Estimate!!Total:!!Group quarters population:
5315,B24125_053E,Estimate!!Total:!!Property appraisers and assessors
5316,B24124_219E,Estimate!!Total:!!Registered nurses
5317,B26208_014E,Estimate!!Total:!!Group quarters population:!!With a disability
5318,B26208_010E,Estimate!!Total:!!Population 65 years and over:
5319,B24125_054E,Estimate!!Total:!!Budget analysts
5320,B08134_109E,Estimate!!Total:!!Walked:!!45 to 59 minutes
5321,B26208_011E,Estimate!!Total:!!Population 65 years and over:!!With a disability
5322,B24125_055E,Estimate!!Total:!!Credit analysts
5323,C27017_050E,Estimate!!Total:!!4.00 of poverty threshold and over:!!65 years and over:!!With private health insurance
5324,B26208_012E,Estimate!!Total:!!Population 65 years and over:!!No disability
5325,B08134_108E,Estimate!!Total:!!Walked:!!35 to 44 minutes
5326,B24125_056E,Estimate!!Total:!!Financial and investment analysts
5327,B24125_057E,Estimate!!Total:!!Personal financial advisors
5328,B24125_058E,Estimate!!Total:!!Insurance underwriters
5329,B16004_010E,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English ""very well"""
5330,B08134_105E,Estimate!!Total:!!Walked:!!20 to 24 minutes
5331,B24125_059E,Estimate!!Total:!!Financial examiners
5332,B08134_104E,Estimate!!Total:!!Walked:!!15 to 19 minutes
5333,B11002H_011E,"Estimate!!Total:!!In family households:!!In female householder, no spouse present, family:!!Nonrelatives"
5334,C27017_051E,Estimate!!Total:!!4.00 of poverty threshold and over:!!65 years and over:!!No private health insurance
5335,B08134_107E,Estimate!!Total:!!Walked:!!30 to 34 minutes
5336,B11002H_012E,Estimate!!Total:!!In nonfamily households
